2116,2962
sein 1891,1236,46,20
dürften. 1400,1268,100,21
<EOS>
Das 1513,1269,47,20
nicht 1570,1269,65,20
aufgenötigte 1646,1268,158,28
und 1814,1269,49,21
nicht 1873,1269,65,21
gesuchte 1399,1303,109,27
Präsidium 1523,1303,131,20
übernahm 1667,1303,130,21
mit 1811,1304,42,19
sieht- 1868,1303,68,21
licher 1399,1337,70,21
Rührung 1504,1337,114,27
Herr 1654,1337,58,21
Theo 1750,1337,58,21
Steiner, 1844,1337,93,25
Frauenfeld, 1400,1370,146,25
ruhig 1561,1371,68,27
gefaßt 1644,1371,80,27
auf 1740,1371,41,21
alles 1795,1371,54,21
Kom- 1865,1371,72,21
mende. 1399,1405,89,21
<EOS>
Vom 1505,1405,60,21
Vorgänger 1580,1405,133,27
war 1728,1412,47,13
er 1790,1412,23,14
ja 1826,1405,25,27
schon 1867,1405,71,21
in 1398,1439,24,21
einigen 1435,1438,89,28
Aussprachen 1536,1438,162,28
«unter 1714,1444,82,16
Männern» 1808,1438,129,22
präpariert 1398,1473,130,26
worden. 1544,1472,100,22
<EOS>
Die 1663,1472,42,22
weitern 1722,1473,95,21
Chargen 1834,1472,102,27
verteilen 1398,1506,112,21
sich 1530,1506,48,21
nun 1598,1514,48,13
wie 1666,1507,42,20
folgt 1727,1506,59,27
: 1792,1514,5,13
Gottfried 1820,1506,117,21
Brauchli, 1399,1540,117,25
Kassier, 1530,1540,102,25
Max 1644,1540,56,20
Eggmann, 1713,1540,130,28
Sekre- 1859,1540,79,21
tär, 1398,1576,45,23
Beisitzer: 1473,1574,121,21
August 1625,1574,91,27
Burgermeister, 1747,1574,191,27
August 1398,1608,91,27
Hungerbühler, 1510,1608,188,27
Hans 1719,1608,65,21
Kesselring 1806,1608,132,28
(neu), 1399,1642,72,28
Max 1482,1642,55,21
König, 1549,1642,84,27
und 1644,1642,48,21
Otto 1704,1642,57,21
Müller 1772,1642,82,21
(neu). 1865,1642,71,28
<EOS>
Nach 1427,1676,68,21
den 1519,1676,45,21
statutarischen 1588,1676,182,21
Geschäften 1797,1676,140,21
referierte 1397,1709,117,22
P. 1528,1709,25,22
<EOS>
Bühler, 1568,1709,93,25
Chefkartograph, 1677,1709,207,28
an- 1899,1717,38,13
hand 1398,1743,63,21
von 1477,1751,48,13
ausgehängten 1543,1743,173,27
Beispielen 1734,1743,130,27
über 1880,1743,57,21
die 1399,1777,35,21
Vorzüge 1460,1777,105,27
und 1589,1777,49,21
Fortschritte 1665,1777,153,21
unseres 1844,1785,93,13
neuesten 1397,1816,113,16
Kartenwerkes 1533,1811,178,21
der 1736,1811,39,21
eidgenössi- 1799,1811,137,27
sehen 1398,1845,69,21
Landestopographie 1492,1845,245,27
im 1761,1846,32,19
Vergleich 1817,1845,120,27
zur 1398,1887,40,13
alten 1449,1879,63,21
Siegfriedkarte. 1526,1879,185,27
<EOS>
Im 1428,1913,37,21
Frühjahr 1473,1913,116,27
wurde 1598,1913,78,21
bei 1684,1913,37,21
einem 1730,1913,74,21
Sonntags- 1812,1913,124,27
bummel 1397,1946,103,22
den 1513,1946,45,22
Kindern 1571,1946,105,22
die 1689,1946,36,22
Gelegenheit 1740,1946,149,28
ge- 1901,1954,36,20
boten, 1397,1980,80,25
die 1493,1980,35,22
Kunststücke 1544,1980,162,22
von 1721,1988,47,14
Swisasso 1785,1980,108,22
zu 1909,1988,28,14
bestaunen. 1397,2014,136,21
<EOS>
